Price,Close,High,Low,Open,Volume
Ticker,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK,BBCA.JK
Date,,,,,
2019-01-01,4469.35888671875,4469.35888671875,4469.35888671875,4469.35888671875,0
2019-01-02,4503.73828125,4508.035741442032,4469.358599713741,4469.358599713741,35956000
2019-01-03,4452.16796875,4486.547644184363,4396.3009961691605,4469.357806467181,72358000
2019-01-04,4473.65625,4473.65625,4404.896884005763,4447.871487752162,51465000
2019-01-07,4508.03564453125,4576.795006125625,4508.03564453125,4525.225484929844,73438000
2019-01-08,4503.73828125,4572.49764432252,4473.656059905773,4495.143360865935,66247500
2019-01-09,4516.63037109375,4572.497349994053,4490.845611601302,4555.307510332421,84871000
2019-01-10,4516.63037109375,4555.307510332421,4460.763392193447,4555.307510332421,114314500
2019-01-11,4512.3330078125,4555.307607886904,4499.440627790179,4538.117767857143,84826500
2019-01-14,4469.35888671875,4499.441109994742,4426.384282038762,4486.548728590746,87547500
2019-01-15,4520.9267578125,4520.9267578125,4460.7623332788735,4495.142004440946,87763000
2019-01-16,4542.416015625,4542.416015625,4508.03632960324,4520.9287118614,94972500
2019-01-17,4581.09228515625,4581.09228515625,4542.415145788139,4546.712605717929,91654000
2019-01-18,4662.74462890625,4662.74462890625,4568.200498181884,4589.687800619239,100873500
2019-01-21,4765.8828125,4813.154869251578,4632.661561654644,4662.743779587467,87118000
2019-01-22,4813.15576171875,4830.345603724889,4684.231946672712,4813.15576171875,91907000
2019-01-23,4727.20654296875,4813.155752840909,4705.71924050071,4813.155752840909,98512500
2019-01-24,4692.82666015625,4714.313961713742,4602.579993614783,4667.04189828726,106781000
2019-01-25,4727.20654296875,4744.396384943182,4641.257333096591,4641.257333096591,68944000
2019-01-28,4722.90966796875,4740.099512074186,4705.719823863313,4740.099512074186,69704000
2019-01-29,4761.58642578125,4770.181347127425,4675.637212319494,4679.934672992582,77679000
2019-01-30,4744.3955078125,4778.775185405344,4722.908209316973,4778.775185405344,76285000
2019-01-31,4843.23779296875,4847.535253299689,4744.396205357143,4744.396205357143,135904500
2019-02-01,4843.23779296875,4942.079380580357,4778.775888004659,4881.914935947205,57719500
2019-02-04,4727.20654296875,4843.237976296165,4727.20654296875,4843.237976296165,113846500
2019-02-05,4727.20654296875,4727.20654296875,4727.20654296875,4727.20654296875,0
2019-02-06,4757.28857421875,4761.586034538731,4722.9088916589035,4727.206351978884,121996500
2019-02-07,4752.99072265625,4757.288182622486,4731.503422825073,4757.288182622486,63697500
2019-02-08,4744.3955078125,4757.287886909817,4727.205669016078,4752.990427210711,65268500
2019-02-11,4722.90966796875,4752.9918951532645,4692.8274407842355,4744.396973100545,37639000
2019-02-12,4692.82666015625,4752.9911045172275,4684.231739533253,4752.9911045172275,95883500
2019-02-13,4658.44580078125,4718.610229942631,4649.850882329624,4692.825474587754,103115500
2019-02-14,4624.0673828125,4645.554684777242,4624.0673828125,4645.554684777242,108738500
2019-02-15,4606.8779296875,4649.852537240555,4585.390625910973,4606.8779296875,81340000
2019-02-18,4710.015625,4727.205463047446,4649.851191833942,4649.851191833942,62991000
2019-02-19,4624.0673828125,4710.016590671468,4624.0673828125,4658.4470659560875,64469000
2019-02-20,4727.20654296875,4808.858292347301,4675.637017045455,4684.231938032671,89583000
2019-02-21,4731.5029296875,4778.774984389192,4701.420713059151,4761.58514631585,54561500
2019-02-22,4718.61083984375,4748.6930583127,4692.826081156079,4705.718460499915,48271500
2019-02-25,4718.61083984375,4727.205759406307,4688.528621374801,4718.61083984375,47887000
2019-02-26,4774.478515625,4774.478515625,4722.908990703758,4727.2064511138615,98446000
2019-02-27,4783.07373046875,4787.3711911430255,4765.883887771648,4783.07373046875,78519500
2019-02-28,4740.09912109375,4795.9661098283095,4735.801660421861,4787.371188484531,99366000
2019-03-01,4761.58642578125,4813.155953858303,4757.288965108162,4783.0737291466885,72589500
2019-03-04,4757.28857421875,4761.586034538731,4740.098732938827,4744.396193258808,63910500
2019-03-05,4722.90966796875,4731.504590021468,4675.637596678799,4727.207128995109,46499500
2019-03-06,4718.61083984375,4774.47781700037,4718.61083984375,4774.47781700037,37777000
2019-03-07,4718.61083984375,4718.61083984375,4718.61083984375,4718.61083984375,0
2019-03-08,4675.63623046875,4787.370184505687,4675.63623046875,4765.88288565243,61126000
2019-03-11,4731.5029296875,4752.990227279178,4692.825794022479,4752.990227279178,32469000
2019-03-12,4727.20654296875,4761.586226917614,4684.231938032671,4761.586226917614,40178500
2019-03-13,4727.20654296875,4731.504003462358,4684.231938032671,4684.231938032671,17722000
